x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.9183673469387755,0.14285714285714285,-0.6800774164629735,-0.7183231476680632,0.04,5.62
-0.9183673469387755,0.1836734693877551,-0.6433823821283219,-0.681603753538067,0.04,5.94
-0.9183673469387755,0.22448979591836735,-0.6017115345253022,-0.6357045108755707,0.03,5.65
-0.9183673469387755,0.2653061224489796,-0.5499355304429798,-0.5806254196805752,0.03,5.58
-0.9183673469387755,0.30612244897959184,-0.48892285152441695,-0.5163664799530807,0.03,5.61
-0.9183673469387755,0.3469387755102041,-0.4179447109138315,-0.44292769169308704,0.02,5.98
-0.9183673469387755,0.3877551020408163,-0.33697448460152507,-0.3603090549005939,0.02,6.92
-0.8775510204081632,-0.46938775510204084,-0.09063477819024347,-0.0957594199695703,0.01,5.65
-0.8775510204081632,-0.42857142857142855,-0.18183809414293753,-0.19224982787784067,0.01,5.73
-0.8775510204081632,-0.3877551020408163,-0.26646493435058277,-0.27996838052172196,0.01,5.07
-0.8775510204081632,-0.3469387755102041,-0.33829509374947,-0.3589150779012139,0.02,6.1
-0.8775510204081632,-0.30612244897959184,-0.40409827693404576,-0.4290899200163192,0.02,6.18
-0.8775510204081632,-0.2653061224489796,-0.46476516464587786,-0.490492906867037,0.03,5.54
-0.8775510204081632,-0.22448979591836735,-0.513982181337784,-0.5431240384533653,0.03,5.67
-0.8775510204081632,-0.1836734693877551,-0.5556681604650848,-0.5869833147753063,0.03,5.64
-0.8775510204081632,-0.14285714285714285,-0.588883271579043,-0.6220707358328585,0.03,5.64
-0.8775510204081632,-0.10204081632653061,-0.6116072953969318,-0.6483863016260234,0.04,6.01
-0.8775510204081632,-0.061224489795918366,-0.6289385782382458,-0.6659300121547995,0.04,5.88
-0.8775510204081632,-0.02040816326530612,-0.6369000926802977,-0.6747018674191875,0.04,5.94
-0.8775510204081632,0.02040816326530612,-0.6364540736045096,-0.6747018674191875,0.04,6.01
-0.8775510204081632,0.061224489795918366,-0.6282854722240001,-0.6659300121547995,0.04,5.99
