x position,y position,Simulation Output (°C),Analytical Output (°C),Absolute error (%),Relative error (%)
-0.9661016949152542,-0.0847457627118644,0.9520885406507528,0.9550006868903631,0.0,0.31
-0.9661016949152542,-0.05084745762711865,0.9525391867594978,0.9620938944505892,0.01,1.0
-0.9661016949152542,-0.01694915254237288,0.9523458310778544,0.965655744647197,0.01,1.4
-0.9661016949152542,0.01694915254237288,0.9522447751914683,0.965655744647197,0.01,1.41
-0.9661016949152542,0.05084745762711865,0.9523924421256268,0.9620938944505892,0.01,1.02
-0.9661016949152542,0.0847457627118644,0.9518663692692559,0.9550006868903631,0.0,0.33
-0.9322033898305084,-0.15254237288135594,0.9209442398062789,0.8953339821420567,0.03,2.78
-0.9322033898305084,-0.11864406779661017,0.9226983976716545,0.9097644946962988,0.01,1.4
-0.9322033898305084,-0.0847457627118644,0.9224811849708214,0.920702502127307,0.0,0.19
-0.9322033898305084,-0.05084745762711865,0.9218040595498336,0.9280503467241089,0.01,0.68
-0.9322033898305084,-0.01694915254237288,0.9218699638650995,0.9317412293316142,0.01,1.07
-0.9322033898305084,0.01694915254237288,0.9216443088918933,0.9317412293316142,0.01,1.1
-0.9322033898305084,0.05084745762711865,0.9215734320079536,0.9280503467241089,0.01,0.7
-0.9322033898305084,0.0847457627118644,0.9227868711820791,0.920702502127307,0.0,0.23
-0.9322033898305084,0.11864406779661017,0.9228980913872128,0.9097644946962988,0.01,1.42
-0.9322033898305084,0.15254237288135594,0.9209195518807558,0.8953339821420567,0.03,2.78
-0.8983050847457628,-0.15254237288135594,0.893336157219836,0.8600890784585583,0.03,3.72
-0.8983050847457628,-0.11864406779661017,0.8925322466502019,0.8750360754056127,0.02,1.96
-0.8983050847457628,-0.0847457627118644,0.8914180191545288,0.8863745876418302,0.01,0.57
-0.8983050847457628,-0.05084745762711865,0.890669045747013,0.8939958964035942,0.0,0.37
-0.8983050847457628,-0.01694915254237288,0.8906146884091749,0.8978254913372722,0.01,0.81
-0.8983050847457628,0.01694915254237288,0.8904856755171758,0.8978254913372722,0.01,0.82
-0.8983050847457628,0.05084745762711865,0.8905120805822812,0.8939958964035942,0.0,0.39
-0.8983050847457628,0.0847457627118644,0.8911554815587988,0.8863745876418302,0.0,0.54
-0.8983050847457628,0.11864406779661017,0.8924013143727022,0.8750360754056127,0.02,1.95
-0.8983050847457628,0.15254237288135594,0.8931253063606437,0.8600890784585583,0.03,3.7
-0.864406779661017,-0.1864406779661017,0.8629827153255668,0.8056670619222915,0.06,6.64
-0.864406779661017,-0.15254237288135594,0.8623273350075731,0.8247439575344636,0.04,4.36
-0.864406779661017,-0.11864406779661017,0.8610903162386414,0.8402445833002502,0.02,2.42
-0.864406779661017,-0.0847457627118644,0.8598012523362112,0.8520135196773242,0.01,0.91
-0.864406779661017,-0.05084745762711865,0.859265457311577,0.8599292706113625,0.0,0.08
-0.864406779661017,-0.01694915254237288,0.8585914024906043,0.8639083869416696,0.01,0.62
-0.864406779661017,0.01694915254237288,0.8592017927365744,0.8639083869416696,0.0,0.55
-0.864406779661017,0.05084745762711865,0.8592669690178607,0.8599292706113625,0.0,0.08
-0.864406779661017,0.0847457627118644,0.8598228878898542,0.8520135196773242,0.01,0.91
-0.864406779661017,0.11864406779661017,0.8610722968589958,0.8402445833002502,0.02,2.42
-0.864406779661017,0.15254237288135594,0.8622951386634827,0.8247439575344636,0.04,4.35
-0.864406779661017,0.1864406779661017,0.8629806502093518,0.8056670619222915,0.06,6.64
-0.8305084745762712,-0.22033898305084745,0.8309335741257259,0.7462350042018292,0.08,10.19
-0.8305084745762712,-0.1864406779661017,0.8324668743983802,0.7695029591052718,0.06,7.56
-0.8305084745762712,-0.15254237288135594,0.8309489415698357,0.7892872451256714,0.04,5.01
-0.8305084745762712,-0.11864406779661017,0.8291932638407286,0.8053826389107794,0.02,2.87
-0.8305084745762712,-0.0847457627118644,0.8278595735482603,0.8176153312536452,0.01,1.24
-0.8305084745762712,-0.05084745762711865,0.827138737136004,0.8258489907602931,0.0,0.16
-0.8305084745762712,-0.01694915254237288,0.8268218961737259,0.8299897489838364,0.0,0.38
-0.8305084745762712,0.01694915254237288,0.8270313269882958,0.8299897489838364,0.0,0.36
-0.8305084745762712,0.05084745762711865,0.8272710088468689,0.8258489907602931,0.0,0.17
-0.8305084745762712,0.0847457627118644,0.8279415662175399,0.8176153312536452,0.01,1.25
-0.8305084745762712,0.11864406779661017,0.8289949188634023,0.8053826389107794,0.02,2.85
-0.8305084745762712,0.15254237288135594,0.8304291675466079,0.7892872451256714,0.04,4.95
-0.8305084745762712,0.1864406779661017,0.8324502275663501,0.7695029591052718,0.06,7.56
-0.8305084745762712,0.22033898305084745,0.8308591199071682,0.7462350042018292,0.08,10.19
-0.7966101694915254,-0.22033898305084745,0.8014981665139533,0.7090424397109858,0.09,11.54
-0.7966101694915254,-0.1864406779661017,0.8007489286416922,0.7331629705470369,0.07,8.44
-0.7966101694915254,-0.15254237288135594,0.79849527687649,0.7537058234210195,0.04,5.61
-0.7966101694915254,-0.11864406779661017,0.7968982643547353,0.7704416820139651,0.03,3.32
-0.7966101694915254,-0.0847457627118644,0.7958274709492711,0.7831754007872994,0.01,1.59
-0.7966101694915254,-0.05084745762711865,0.7953663414860647,0.791753329354482,0.0,0.45
-0.7966101694915254,-0.01694915254237288,0.7949842352712575,0.7960693818846014,0.0,0.14
-0.7966101694915254,0.01694915254237288,0.7942451047488371,0.7960693818846014,0.0,0.23
-0.7966101694915254,0.05084745762711865,0.7951183459076728,0.791753329354482,0.0,0.42
-0.7966101694915254,0.0847457627118644,0.7959292191783904,0.7831754007872994,0.01,1.6
-0.7966101694915254,0.11864406779661017,0.7970363454352021,0.7704416820139651,0.03,3.34
-0.7966101694915254,0.15254237288135594,0.7988344463419421,0.7537058234210195,0.05,5.65
-0.7966101694915254,0.1864406779661017,0.8005274215589295,0.7331629705470369,0.07,8.42
-0.7966101694915254,0.22033898305084745,0.801689140138475,0.7090424397109858,0.09,11.56
-0.7627118644067796,-0.22033898305084745,0.7703096678544615,0.6715953006979888,0.1,12.81
-0.7627118644067796,-0.1864406779661017,0.768333203854678,0.6966266321543745,0.07,9.33
-0.7627118644067796,-0.15254237288135594,0.7662804315494381,0.7179844947431823,0.05,6.3
-0.7627118644067796,-0.11864406779661017,0.7645413726193657,0.7354117298135019,0.03,3.81
-0.7627118644067796,-0.0847457627118644,0.7636254258513941,0.748688312371841,0.01,1.96
-0.7627118644067796,-0.05084745762711865,0.7626931251953806,0.7576402554572217,0.01,0.66
-0.7627118644067796,-0.01694915254237288,0.7621890369076287,0.7621470553413102,0.0,0.01
-0.7627118644067796,0.01694915254237288,0.7621148672877937,0.7621470553413102,0.0,0.0
-0.7627118644067796,0.05084745762711865,0.7622517007904136,0.7576402554572217,0.0,0.6
-0.7627118644067796,0.0847457627118644,0.7631337313690187,0.748688312371841,0.01,1.89
-0.7627118644067796,0.11864406779661017,0.7648168944981977,0.7354117298135019,0.03,3.84
-0.7627118644067796,0.15254237288135594,0.7660065316587532,0.7179844947431823,0.05,6.27
-0.7627118644067796,0.1864406779661017,0.7683445108148501,0.6966266321543745,0.07,9.33
-0.7627118644067796,0.22033898305084745,0.770387112495907,0.6715953006979888,0.1,12.82
-0.7288135593220338,-0.2542372881355932,0.736548366154482,0.6044072111422708,0.13,17.94
-0.7288135593220338,-0.22033898305084745,0.7379846672641347,0.6338648789364065,0.1,14.11
-0.7288135593220338,-0.1864406779661017,0.7356437545692496,0.6598703481818027,0.08,10.3
-0.7288135593220338,-0.15254237288135594,0.7331819843906726,0.6821055677757477,0.05,6.97
-0.7288135593220338,-0.11864406779661017,0.7319183914366635,0.7002810744481351,0.03,4.32
-0.7288135593220338,-0.0847457627118644,0.730169822329214,0.7141476790183234,0.02,2.19
-0.7288135593220338,-0.05084745762711865,0.7290270266127225,0.7235073652103453,0.01,0.76
