x position,y position,Simulation Output (V),Analytical Output (V),Absolute error (%),Relative error (%)
-0.8367346938775511,-0.02040816326530612,3.0804219369444704e9,5.190994307098002e9,2.11057237015e9,68.52
-0.8367346938775511,0.02040816326530612,3.020220751174374e9,5.190994307098002e9,2.17077355592e9,71.87
-0.8367346938775511,0.061224489795918366,3.08126625465433e9,5.138437321328929e9,2.05717106667e9,66.76
-0.8367346938775511,0.10204081632653061,2.9351581535672855e9,5.032950014792777e9,2.09779186123e9,71.47
-0.8367346938775511,0.14285714285714285,2.8369071856970496e9,4.873790092639188e9,2.03688290694e9,71.8
-0.8367346938775511,0.1836734693877551,2.675634500562863e9,4.659854838251598e9,1.98422033769e9,74.16
-0.8367346938775511,0.22448979591836735,2.53236856912207e9,4.389693411503969e9,1.85732484238e9,73.34
-0.8367346938775511,0.2653061224489796,2.330226893134818e9,4.061522353443948e9,1.73129546031e9,74.3
-0.8367346938775511,0.30612244897959184,2.1010275182027447e9,3.6732436437754083e9,1.57221612557e9,74.83
-0.8367346938775511,0.3469387755102041,1.8442162099690106e9,3.2224646125542364e9,1.37824840259e9,74.73
-0.8367346938775511,0.3877551020408163,1.6148823868672695e9,2.7065190140721383e9,1.0916366272e9,67.6
-0.8367346938775511,0.42857142857142855,1.3117110496122384e9,2.122488620069239e9,8.1077757046e8,61.81
-0.8367346938775511,0.46938775510204084,9.817844451536381e8,1.4672247691456394e9,4.8544032399e8,49.44
-0.8367346938775511,0.5102040816326531,6.243057983277209e8,7.373694067533557e8,1.1306360843e8,18.11
-0.7959183673469388,-0.5918367346938775,4.6951762504346067e8,3.0450923451756215e8,1.6500839053e8,35.14
-0.7959183673469388,-0.5510204081632653,8.327514791227766e8,1.1650050854455147e9,3.3225360632e8,39.9
-0.7959183673469388,-0.5102040816326531,1.2061895179257777e9,1.9451024910476995e9,7.3891297312e8,61.26
-0.7959183673469388,-0.46938775510204084,1.5950258295261674e9,2.6486222205378785e9,1.05359639101e9,66.06
-0.7959183673469388,-0.42857142857142855,1.9453720096219609e9,3.279218216875418e9,1.33384620725e9,68.57
-0.7959183673469388,-0.3877551020408163,2.182419229107113e9,3.8403574311619573e9,1.65793820205e9,75.97
-0.7959183673469388,-0.3469387755102041,2.5659435504458704e9,4.335298214862508e9,1.76935466442e9,68.96
-0.7959183673469388,-0.30612244897959184,2.731365180066477e9,4.767067525086262e9,2.03570234502e9,74.53
-0.7959183673469388,-0.2653061224489796,2.971048468662883e9,5.138437321247092e9,2.16738885258e9,72.95
-0.7959183673469388,-0.22448979591836735,3.2133091073213325e9,5.451900663512882e9,2.23859155619e9,69.67
-0.7959183673469388,-0.1836734693877551,3.3030946400462236e9,5.709648153311701e9,2.40655351327e9,72.86
-0.7959183673469388,-0.14285714285714285,3.4922495356954246e9,5.913545468660436e9,2.42129593297e9,69.33
-0.7959183673469388,-0.10204081632653061,3.591396374500717e9,6.065112824548094e9,2.47371645005e9,68.88
-0.7959183673469388,-0.061224489795918366,3.6054378478314285e9,6.165507213392234e9,2.56006936556e9,71.01
-0.7959183673469388,-0.02040816326530612,3.6971216577066865e9,6.215508238585974e9,2.51838658088e9,68.12
-0.7959183673469388,0.02040816326530612,3.651573429239413e9,6.215508238585974e9,2.56393480935e9,70.21
-0.7959183673469388,0.061224489795918366,3.595665332514778e9,6.165507213392234e9,2.56984188088e9,71.47
-0.7959183673469388,0.10204081632653061,3.5507900942933073e9,6.065112824548094e9,2.51432273025e9,70.81
-0.7959183673469388,0.14285714285714285,3.4576856307831383e9,5.913545468660436e9,2.45585983788e9,71.03
-0.7959183673469388,0.1836734693877551,3.3166419809794693e9,5.709648153311701e9,2.39300617233e9,72.15
-0.7959183673469388,0.22448979591836735,3.225327821037689e9,5.451900663512882e9,2.22657284248e9,69.03
-0.7959183673469388,0.2653061224489796,3.0214812955813246e9,5.138437321247092e9,2.11695602567e9,70.06
-0.7959183673469388,0.30612244897959184,2.7178446876193695e9,4.767067525086262e9,2.04922283747e9,75.4
-0.7959183673469388,0.3469387755102041,2.4894428083055134e9,4.335298214862508e9,1.84585540656e9,74.15
-0.7959183673469388,0.3877551020408163,2.1677981142007947e9,3.8403574311619573e9,1.67255931696e9,77.15
-0.7959183673469388,0.42857142857142855,1.9127233418402877e9,3.279218216875418e9,1.36649487504e9,71.44
-0.7959183673469388,0.46938775510204084,1.635662697475634e9,2.6486222205378785e9,1.01295952306e9,61.93
-0.7959183673469388,0.5102040816326531,1.2295386571557076e9,1.9451024910476995e9,7.1556383389e8,58.2
-0.7959183673469388,0.5510204081632653,7.993387573051057e8,1.1650050854455147e9,3.6566632814e8,45.75
-0.7959183673469388,0.5918367346938775,4.8743793377614564e8,3.0450923451756215e8,1.8292869926e8,37.53
-0.7551020408163265,-0.6326530612244898,5.519449012031045e8,5.524939534016625e8,549052.2,0.1
-0.7551020408163265,-0.5918367346938775,9.565527992831528e8,1.467224769127214e9,5.1067196984e8,53.39
-0.7551020408163265,-0.5510204081632653,1.393312059101987e9,2.298874438031738e9,9.0556237893e8,64.99
-0.7551020408163265,-0.5102040816326531,1.774172816847503e9,3.05151261375334e9,1.27733979691e9,72.0
-0.7551020408163265,-0.46938775510204084,2.1897200227702875e9,3.729065842968221e9,1.5393458202e9,70.3
-0.7551020408163265,-0.42857142857142855,2.5254206132429957e9,4.335298214817727e9,1.80987760157e9,71.67
-0.7551020408163265,-0.3877551020408163,2.871982079830863e9,4.873790092509574e9,2.00180801268e9,69.7
-0.7551020408163265,-0.3469387755102041,3.030908664847206e9,5.347915037872667e9,2.31700637303e9,76.45
-0.7551020408163265,-0.30612244897959184,3.427802071272644e9,5.76081516337689e9,2.3330130921e9,68.06
-0.7551020408163265,-0.2653061224489796,3.6009167350717607e9,6.11537529497872e9,2.51445855991e9,69.83
-0.7551020408163265,-0.22448979591836735,3.8750477619270463e9,6.414196496042241e9,2.53914873412e9,65.53
-0.7551020408163265,-0.1836734693877551,3.911222913540568e9,6.659569674390806e9,2.74834676085e9,70.27
-0.7551020408163265,-0.14285714285714285,4.0068611684603376e9,6.853450151895589e9,2.84658898344e9,71.04
-0.7551020408163265,-0.10204081632653061,4.220533519534921e9,6.9974341946387415e9,2.7769006751e9,65.8
-0.7551020408163265,-0.061224489795918366,4.2505269589065604e9,7.092738555773222e9,2.84221159687e9,66.87
-0.7551020408163265,-0.02040816326530612,4.2491985106592484e9,7.140184050502577e9,2.89098553984e9,68.04
-0.7551020408163265,0.02040816326530612,4.257347442078275e9,7.140184050502577e9,2.88283660842e9,67.71
-0.7551020408163265,0.061224489795918366,4.305423971416226e9,7.092738555773222e9,2.78731458436e9,64.74
-0.7551020408163265,0.10204081632653061,4.1863828732157226e9,6.9974341946387415e9,2.81105132142e9,67.15
-0.7551020408163265,0.14285714285714285,4.0817881538198066e9,6.853450151895589e9,2.77166199808e9,67.9
-0.7551020408163265,0.1836734693877551,3.9226462271401086e9,6.659569674390806e9,2.73692344725e9,69.77
-0.7551020408163265,0.22448979591836735,3.818216060657317e9,6.414196496042241e9,2.59598043538e9,67.99
-0.7551020408163265,0.2653061224489796,3.6526198190615234e9,6.11537529497872e9,2.46275547592e9,67.42
-0.7551020408163265,0.30612244897959184,3.4241144863799124e9,5.76081516337689e9,2.336700677e9,68.24
-0.7551020408163265,0.3469387755102041,3.1208033916775613e9,5.347915037872667e9,2.2271116462e9,71.36
-0.7551020408163265,0.3877551020408163,2.807175239718942e9,4.873790092509574e9,2.06661485279e9,73.62
-0.7551020408163265,0.42857142857142855,2.515391044260268e9,4.335298214817727e9,1.81990717056e9,72.35
-0.7551020408163265,0.46938775510204084,2.1306916728443775e9,3.729065842968221e9,1.59837417012e9,75.02
-0.7551020408163265,0.5102040816326531,1.80011006308923e9,3.05151261375334e9,1.25140255066e9,69.52
-0.7551020408163265,0.5510204081632653,1.372019240737367e9,2.298874438031738e9,9.2685519729e8,67.55
-0.7551020408163265,0.5918367346938775,9.476992342227665e8,1.467224769127214e9,5.195255349e8,54.82
-0.7551020408163265,0.6326530612244898,5.47166422470911e8,5.524939534016625e8,5.32753093e6,0.97
-0.7142857142857143,-0.673469387755102,6.085206127660468e8,6.758506284636859e8,6.73300157e7,11.06
-0.7142857142857143,-0.6326530612244898,1.0624968128564069e9,1.6472512225267231e9,5.8475440967e8,55.04
-0.7142857142857143,-0.5918367346938775,1.48885296032719e9,2.532489613921327e9,1.04363665359e9,70.1
-0.7142857142857143,-0.5510204081632653,1.9327404080347054e9,3.3358562331888185e9,1.40311582515e9,72.6
-0.7142857142857143,-0.5102040816326531,2.371671825413924e9,4.0615223533253274e9,1.68985052791e9,71.25
-0.7142857142857143,-0.46938775510204084,2.772678654133933e9,4.713522306350654e9,1.94084365222e9,70.0
-0.7142857142857143,-0.42857142857142855,3.156902012694873e9,5.295733464252212e9,2.13883145156e9,67.75
-0.7142857142857143,-0.3877551020408163,3.407553238602395e9,5.811853934999794e9,2.4043006964e9,70.56
-0.7142857142857143,-0.3469387755102041,3.6928243578878493e9,6.265378026901183e9,2.57255366901e9,69.66
-0.7142857142857143,-0.30612244897959184,3.987048899472352e9,6.659569674273125e9,2.6725207748e9,67.03
-0.7142857142857143,-0.2653061224489796,4.228218700312417e9,6.997434194494876e9,2.76921549418e9,65.49
-0.7142857142857143,-0.22448979591836735,4.47386863791111e9,7.28168895503847e9,2.80782031713e9,62.76
-0.7142857142857143,-0.1836734693877551,4.599461043156803e9,7.514733754597717e9,2.91527271144e9,63.38
-0.7142857142857143,-0.14285714285714285,4.708598430654558e9,7.698621940810039e9,2.99002351016e9,63.5
-0.7142857142857143,-0.10204081632653061,4.808397282092661e9,7.835033465325087e9,3.02663618323e9,62.94
-0.7142857142857143,-0.061224489795918366,4.89701206581291e9,7.925251177439854e9,3.02823911163e9,61.84
-0.7142857142857143,-0.02040816326530612,4.898059659042308e9,7.970141645213694e9,3.07208198617e9,62.72
-0.7142857142857143,0.02040816326530612,4.8667450979015875e9,7.970141645213694e9,3.10339654731e9,63.77
