x position,y position,Simulation Output (°C),Analytical Output (°C),Absolute error (%),Relative error (%)
-0.9310344827586207,-0.9310344827586207,-0.46357795917771794,-0.8916667635889135,0.43,92.34
-0.9310344827586207,-0.8620689655172413,-0.2846695793204556,-0.7996700147881085,0.52,180.91
-0.9310344827586207,-0.7931034482758621,-0.1904659867241575,-0.7170670213024896,0.53,276.48
-0.9310344827586207,-0.7241379310344828,-0.13784013128654213,-0.6428874424980991,0.51,366.4
-0.9310344827586207,-0.6551724137931034,-0.10095359460871622,-0.5762598879266458,0.48,470.82
-0.9310344827586207,-0.5862068965517241,-0.0766240089533257,-0.5164016810674157,0.44,573.94
-0.9310344827586207,-0.5172413793103449,-0.05900937392922599,-0.4626096651952052,0.4,683.96
-0.9310344827586207,-0.4482758620689655,-0.04607450191269598,-0.41425194337044074,0.37,799.09
-0.9310344827586207,-0.3793103448275862,-0.0359302967233696,-0.3707604555208155,0.33,931.89
-0.9310344827586207,-0.3103448275862069,-0.028191914776197112,-0.3316243054171382,0.3,1076.31
-0.9310344827586207,-0.2413793103448276,-0.021066404964817795,-0.2963837591551062,0.28,1306.9
-0.9310344827586207,-0.1724137931034483,-0.018082173508323963,-0.2646248446429349,0.25,1363.46
-0.9310344827586207,-0.10344827586206896,-0.013598335012155752,-0.2359744886548112,0.22,1635.32
-0.9310344827586207,-0.034482758620689655,-0.011334034839909028,-0.21009613432494234,0.2,1753.67
-0.9310344827586207,0.034482758620689655,-0.00882963902594691,-0.18668578760073312,0.18,2014.31
-0.9310344827586207,0.10344827586206896,-0.00746634016964855,-0.16546844621261697,0.16,2116.19
-0.9310344827586207,0.1724137931034483,-0.0058756473407815995,-0.1461948692115114,0.14,2388.15
-0.9310344827586207,0.2413793103448276,-0.005012369768993311,-0.12863864912552336,0.12,2466.42
-0.9310344827586207,0.3103448275862069,-0.00358198959560514,-0.11259355234241597,0.11,3043.32
-0.9310344827586207,0.3793103448275862,-0.0024695024373053128,-0.09787109647520247,0.1,3863.19
-0.9310344827586207,0.4482758620689655,-0.002532607699877577,-0.08429833625208608,0.08,3228.52
-0.9310344827586207,0.5172413793103449,-0.002211860243903744,-0.07171583192150704,0.07,3142.33
-0.9310344827586207,0.5862068965517241,-0.001186727450910337,-0.059975776307070176,0.06,4953.88
-0.9310344827586207,0.6551724137931034,-0.0009546282979090144,-0.04894025851079349,0.05,5026.63
-0.9310344827586207,0.7241379310344828,-0.0008926273626599531,-0.03847964386833099,0.04,4210.83
-0.9310344827586207,0.7931034482758621,-0.0008641079230684679,-0.028471051125439625,0.03,3194.85
-0.9310344827586207,0.8620689655172413,-0.00039987191199744457,-0.018796908947021903,0.02,4600.73
-0.9310344827586207,0.9310344827586207,-0.0001696167198625328,-0.009343574801998964,0.01,5408.64
-0.8620689655172413,-0.9310344827586207,-0.6174378622638284,-0.8759549757631948,0.26,41.87
-0.8620689655172413,-0.8620689655172413,-0.42918066561374746,-0.7855792735874726,0.36,83.04
-0.8620689655172413,-0.7931034482758621,-0.30523771908066716,-0.7044318022323315,0.4,130.78
-0.8620689655172413,-0.7241379310344828,-0.2256965355599021,-0.6315593191398916,0.41,179.83
-0.8620689655172413,-0.6551724137931034,-0.16730998688230403,-0.5661057883669249,0.4,238.36
-0.8620689655172413,-0.5862068965517241,-0.12757218939080978,-0.5073023246967477,0.38,297.66
-0.8620689655172413,-0.5172413793103449,-0.10036649764021895,-0.45445816151414525,0.35,352.8
-0.8620689655172413,-0.4482758620689655,-0.07712997393493051,-0.4069525363426056,0.33,427.62
-0.8620689655172413,-0.3793103448275862,-0.059602584094705605,-0.3642273987229337,0.3,511.09
-0.8620689655172413,-0.3103448275862069,-0.049935454899008615,-0.3257808547724223,0.28,552.4
-0.8620689655172413,-0.2413793103448276,-0.03871200350950711,-0.29116127141754505,0.25,652.12
-0.8620689655172413,-0.1724137931034483,-0.031139537696947966,-0.2599619710423659,0.23,734.83
-0.8620689655172413,-0.10344827586206896,-0.025056341088911287,-0.23181645423048883,0.21,825.18
-0.8620689655172413,-0.034482758620689655,-0.020123552261226214,-0.2063940944819063,0.19,925.63
-0.8620689655172413,0.034482758620689655,-0.016361906137782718,-0.18339625433041806,0.17,1020.87
-0.8620689655172413,0.10344827586206896,-0.012352198139583121,-0.1625527772374946,0.15,1215.98
-0.8620689655172413,0.1724137931034483,-0.009983567805909477,-0.14361881405272683,0.13,1338.55
-0.8620689655172413,0.2413793103448276,-0.008025660318692802,-0.12637194676116442,0.12,1474.6
-0.8620689655172413,0.3103448275862069,-0.006482510488324207,-0.11060957573009092,0.1,1606.28
-0.8620689655172413,0.3793103448275862,-0.005126206185186616,-0.0961465397631192,0.09,1775.59
-0.8620689655172413,0.4482758620689655,-0.004202019381612919,-0.08281294100428868,0.08,1870.79
-0.8620689655172413,0.5172413793103449,-0.003676786339344547,-0.0704521491412267,0.07,1816.13
-0.8620689655172413,0.5862068965517241,-0.0025654868066965833,-0.05891896146266953,0.06,2196.6
-0.8620689655172413,0.6551724137931034,-0.0015810358570919239,-0.048077897156465925,0.05,2940.91
-0.8620689655172413,0.7241379310344828,-0.0017391241342502347,-0.03780160581111441,0.04,2073.6
-0.8620689655172413,0.7931034482758621,-0.0008891402954081188,-0.027969371425438684,0.03,3045.66
-0.8620689655172413,0.8620689655172413,-0.0009231449169744783,-0.01846569435294389,0.02,1900.3
-0.8620689655172413,0.9310344827586207,-0.00034849161075449665,-0.009178934522897546,0.01,2533.9
-0.7931034482758621,-0.9310344827586207,-0.674095372528148,-0.8499734167399249,0.18,26.09
